nroventa,fechaventa,idcliente,idproducto,idsucursal,tipopago,cantidad,precio,observacion
226,2003-07-29 00:00:00.000,250,11,1,CN,1.0,159900.0,
228,2003-08-15 00:00:00.000,292,32,1,CN,1.0,259000.0,
234,2003-09-21 00:00:00.000,276,40,10,CR,1.0,20990.0,
236,2003-10-03 00:00:00.000,215,10,10,CR,3.0,357000.0,
237,2003-10-09 00:00:00.000,265,6,10,CR,1.0,55000.0,
239,2003-10-23 00:00:00.000,410,39,1,CN,4.0,43960.0,
240,2003-10-30 00:00:00.000,360,43,8,CN,4.0,55920.0,
244,2003-11-16 00:00:00.000,275,11,10,CN,1.0,159900.0,
248,2003-12-03 00:00:00.000,319,20,10,CR,3.0,332700.0,
250,2003-12-14 00:00:00.000,345,23,10,CR,3.0,422700.0,
251,2003-12-22 00:00:00.000,234,24,1,CR,1.0,150900.0,
254,2004-01-07 00:00:00.000,287,33,1,CN,4.0,756000.0,
255,2004-01-11 00:00:00.000,287,20,8,CN,2.0,221800.0,
259,2004-01-28 00:00:00.000,234,4,10,CR,2.0,61800.0,
260,2004-02-04 00:00:00.000,345,11,8,CR,1.0,159900.0,
261,2004-02-06 00:00:00.000,294,34,10,CR,1.0,199000.0,
262,2004-02-12 00:00:00.000,288,25,10,CR,2.0,281800.0,
263,2004-02-17 00:00:00.000,206,14,10,CR,1.0,200000.0,
273,2004-04-22 00:00:00.000,394,36,8,CR,1.0,359000.0,
274,2004-04-24 00:00:00.000,281,43,8,CR,2.0,27960.0,
276,2004-05-05 00:00:00.000,215,32,10,CR,3.0,777000.0,
283,2004-06-09 00:00:00.000,281,9,1,CN,3.0,419700.0,
285,2004-06-27 00:00:00.000,287,8,10,CN,1.0,129900.0,
289,2004-07-07 00:00:00.000,385,40,8,CR,3.0,62970.0,
295,2004-07-23 00:00:00.000,272,10,8,CN,4.0,476000.0,
302,2004-08-23 00:00:00.000,287,22,8,CR,3.0,300000.0,
309,2004-10-06 00:00:00.000,1,27,10,CN,4.0,684000.0,
312,2004-10-31 00:00:00.000,232,24,10,CN,3.0,452700.0,
315,2004-11-11 00:00:00.000,355,26,8,CR,2.0,362000.0,
317,2004-11-17 00:00:00.000,234,17,10,CR,3.0,687000.0,
318,2004-11-24 00:00:00.000,313,37,10,CR,2.0,638000.0,
329,2004-12-29 00:00:00.000,345,12,10,CR,4.0,679600.0,
347,2005-03-07 00:00:00.000,201,28,1,CR,4.0,760000.0,
348,2005-03-12 00:00:00.000,304,30,1,CR,1.0,240000.0,
349,2005-03-17 00:00:00.000,439,21,8,CR,4.0,483600.0,
352,2005-03-25 00:00:00.000,409,44,8,CN,1.0,23980.0,
354,2005-04-06 00:00:00.000,268,38,10,CN,2.0,9980.0,
367,2005-07-16 00:00:00.000,372,23,8,CN,1.0,140900.0,
369,2005-08-01 00:00:00.000,203,44,1,CN,4.0,95920.0,
370,2005-08-11 00:00:00.000,257,20,1,CN,1.0,110900.0,
371,2005-08-12 00:00:00.000,440,6,8,CR,1.0,55000.0,
375,2005-08-28 00:00:00.000,287,8,1,CR,4.0,519600.0,
377,2005-09-18 00:00:00.000,278,28,8,CR,2.0,380000.0,
380,2005-10-12 00:00:00.000,392,1,1,CN,2.0,79800.0,
391,2005-11-18 00:00:00.000,306,6,10,CR,1.0,55000.0,
397,2005-12-25 00:00:00.000,207,37,10,CN,4.0,1276000.0,
398,2006-01-03 00:00:00.000,232,9,10,CN,1.0,139900.0,
412,2006-03-25 00:00:00.000,253,16,10,CN,2.0,418000.0,
416,2006-04-10 00:00:00.000,329,32,8,CR,4.0,1036000.0,
418,2006-04-25 00:00:00.000,207,9,10,CR,2.0,279800.0,
420,2006-05-02 00:00:00.000,313,16,8,CR,4.0,836000.0,
431,2006-07-20 00:00:00.000,287,29,8,CR,4.0,840000.0,
436,2006-08-24 00:00:00.000,443,4,10,CN,3.0,92700.0,
442,2006-09-13 00:00:00.000,367,23,10,CR,1.0,140900.0,
443,2006-09-16 00:00:00.000,2,43,1,CR,3.0,41940.0,
444,2006-09-23 00:00:00.000,374,31,8,CR,2.0,562000.0,
453,2006-11-03 00:00:00.000,462,35,8,CN,4.0,876000.0,
455,2006-11-13 00:00:00.000,232,4,8,CR,1.0,30900.0,
456,2006-11-14 00:00:00.000,348,40,1,CR,4.0,83960.0,
461,2006-12-24 00:00:00.000,333,36,10,CR,1.0,359000.0,
462,2006-12-29 00:00:00.000,401,22,8,CR,3.0,300000.0,
486,2007-05-09 00:00:00.000,257,16,8,CR,3.0,627000.0,
489,2007-05-19 00:00:00.000,253,8,1,CR,2.0,259800.0,
490,2007-05-22 00:00:00.000,459,5,8,CR,2.0,90000.0,
491,2007-05-26 00:00:00.000,453,36,10,CN,1.0,359000.0,
494,2007-06-11 00:00:00.000,375,34,10,CN,2.0,398000.0,
502,2007-07-30 00:00:00.000,287,4,1,CR,3.0,92700.0,
505,2007-08-10 00:00:00.000,408,41,8,CN,1.0,30000.0,
506,2007-08-15 00:00:00.000,372,36,1,CN,3.0,1077000.0,
508,2007-08-28 00:00:00.000,342,30,10,CN,4.0,960000.0,
509,2007-09-08 00:00:00.000,211,15,8,CN,3.0,570000.0,
515,2007-10-14 00:00:00.000,394,10,1,CR,2.0,238000.0,
517,2007-10-22 00:00:00.000,408,26,1,CR,4.0,724000.0,
520,2007-11-07 00:00:00.000,298,26,10,CN,1.0,181000.0,
521,2007-11-14 00:00:00.000,215,19,10,CN,2.0,600000.0,
523,2007-11-21 00:00:00.000,367,22,8,CN,2.0,200000.0,
530,2007-12-24 00:00:00.000,372,15,8,CR,1.0,190000.0,
535,2008-01-21 00:00:00.000,292,28,1,CN,3.0,570000.0,
540,2008-02-17 00:00:00.000,224,28,8,CR,3.0,570000.0,
550,2008-04-17 00:00:00.000,373,40,1,CN,3.0,62970.0,
551,2008-04-19 00:00:00.000,221,5,1,CN,2.0,90000.0,
565,2008-07-24 00:00:00.000,367,6,1,CN,3.0,165000.0,
567,2008-07-31 00:00:00.000,375,10,10,CR,2.0,238000.0,
569,2008-08-13 00:00:00.000,287,2,8,CR,1.0,54900.0,
571,2008-08-20 00:00:00.000,292,33,8,CR,1.0,189000.0,
588,2008-11-25 00:00:00.000,459,9,10,CR,2.0,279800.0,
599,2008-12-22 00:00:00.000,5,16,8,CR,4.0,836000.0,
601,2008-12-30 00:00:00.000,383,17,8,CR,4.0,916000.0,
606,2009-01-20 00:00:00.000,457,31,8,CN,3.0,843000.0,
607,2009-01-24 00:00:00.000,459,38,10,CN,2.0,9980.0,
617,2009-03-10 00:00:00.000,302,30,10,CN,3.0,720000.0,
619,2009-03-26 00:00:00.000,253,33,1,CN,4.0,756000.0,
622,2009-04-17 00:00:00.000,431,36,1,CN,4.0,1436000.0,
625,2009-04-30 00:00:00.000,323,26,10,CR,2.0,362000.0,
627,2009-05-09 00:00:00.000,372,27,10,CR,1.0,171000.0,
628,2009-05-18 00:00:00.000,443,27,8,CR,3.0,513000.0,
633,2009-05-28 00:00:00.000,257,36,1,CN,1.0,359000.0,
636,2009-06-15 00:00:00.000,431,4,8,CN,3.0,92700.0,
638,2009-07-07 00:00:00.000,443,41,8,CR,2.0,60000.0,
640,2009-07-16 00:00:00.000,201,26,8,CR,2.0,362000.0,
644,2009-07-29 00:00:00.000,355,45,10,CR,3.0,98970.0,
645,2009-08-04 00:00:00.000,466,2,8,CN,4.0,219600.0,
647,2009-08-09 00:00:00.000,462,21,1,CN,3.0,362700.0,
656,2009-10-06 00:00:00.000,232,26,10,CR,2.0,362000.0,
659,2009-10-29 00:00:00.000,6,14,1,CN,4.0,800000.0,
660,2009-11-06 00:00:00.000,372,30,10,CN,2.0,480000.0,
673,2010-01-06 00:00:00.000,215,13,4,CN,4.0,639600.0,
674,2010-01-12 00:00:00.000,453,19,1,CN,3.0,900000.0,
675,2010-01-23 00:00:00.000,342,26,6,CN,2.0,362000.0,
676,2010-01-27 00:00:00.000,217,30,9,CN,3.0,720000.0,
677,2010-01-31 00:00:00.000,232,2,12,CN,2.0,109800.0,
678,2010-02-01 00:00:00.000,222,4,3,CN,3.0,92700.0,
679,2010-02-03 00:00:00.000,439,39,1,CR,1.0,10990.0,
680,2010-02-09 00:00:00.000,257,43,12,CR,4.0,55920.0,
681,2010-02-15 00:00:00.000,203,7,10,CR,1.0,70000.0,
682,2010-02-22 00:00:00.000,318,40,1,CR,4.0,83960.0,
683,2010-03-03 00:00:00.000,369,12,11,CR,4.0,679600.0,
684,2010-03-05 00:00:00.000,304,5,9,CR,2.0,90000.0,
685,2010-03-10 00:00:00.000,232,33,5,CR,4.0,756000.0,
686,2010-03-10 00:00:00.000,408,34,12,CR,3.0,597000.0,
687,2010-03-11 00:00:00.000,217,2,10,CN,4.0,219600.0,
688,2010-03-20 00:00:00.000,288,15,2,CN,3.0,570000.0,
689,2010-03-29 00:00:00.000,367,9,12,CN,1.0,139900.0,
690,2010-04-04 00:00:00.000,232,45,9,CN,2.0,65980.0,
691,2010-04-05 00:00:00.000,222,18,8,CN,3.0,777000.0,
692,2010-04-07 00:00:00.000,439,5,9,CN,1.0,45000.0,
693,2010-04-11 00:00:00.000,294,24,12,CR,4.0,603600.0,
694,2010-04-15 00:00:00.000,348,41,6,CR,3.0,90000.0,
695,2010-04-18 00:00:00.000,308,14,3,CR,3.0,600000.0,
696,2010-04-24 00:00:00.000,369,23,7,CR,1.0,140900.0,
697,2010-04-30 00:00:00.000,232,16,2,CR,3.0,627000.0,
698,2010-05-11 00:00:00.000,263,11,3,CR,2.0,319800.0,
699,2010-05-22 00:00:00.000,394,4,5,CR,1.0,30900.0,
700,2010-05-27 00:00:00.000,459,9,3,CR,4.0,559600.0,
701,2010-06-03 00:00:00.000,333,7,11,CN,4.0,280000.0,
702,2010-06-06 00:00:00.000,294,30,4,CN,1.0,240000.0,
703,2010-06-17 00:00:00.000,431,15,7,CN,3.0,570000.0,
704,2010-06-20 00:00:00.000,353,10,11,CN,2.0,238000.0,
705,2010-06-20 00:00:00.000,462,15,4,CN,2.0,380000.0,
706,2010-06-28 00:00:00.000,292,31,10,CN,3.0,843000.0,
707,2010-07-09 00:00:00.000,386,10,12,CR,3.0,357000.0,
708,2010-07-11 00:00:00.000,239,7,10,CR,3.0,210000.0,
709,2010-07-20 00:00:00.000,239,7,6,CR,3.0,210000.0,
710,2010-07-25 00:00:00.000,386,33,6,CR,2.0,378000.0,
711,2010-08-03 00:00:00.000,343,2,3,CR,4.0,219600.0,
712,2010-08-03 00:00:00.000,232,25,9,CR,4.0,563600.0,
713,2010-08-09 00:00:00.000,267,19,4,CR,4.0,1200000.0,
714,2010-08-09 00:00:00.000,323,34,4,CR,3.0,597000.0,
715,2010-08-17 00:00:00.000,462,31,9,CN,1.0,281000.0,
716,2010-08-23 00:00:00.000,218,38,4,CN,4.0,19960.0,
717,2010-09-02 00:00:00.000,275,4,9,CN,3.0,92700.0,
718,2010-09-10 00:00:00.000,287,25,8,CN,1.0,140900.0,
719,2010-09-20 00:00:00.000,452,27,3,CN,4.0,684000.0,
720,2010-09-25 00:00:00.000,383,10,10,CN,4.0,476000.0,
721,2010-10-05 00:00:00.000,433,16,3,CR,3.0,627000.0,
722,2010-10-09 00:00:00.000,207,16,4,CR,2.0,418000.0,
723,2010-10-20 00:00:00.000,402,2,10,CR,2.0,109800.0,
724,2010-10-29 00:00:00.000,459,33,5,CR,3.0,567000.0,
725,2010-10-31 00:00:00.000,292,3,10,CR,1.0,68900.0,
726,2010-11-01 00:00:00.000,391,3,1,CR,2.0,137800.0,
727,2010-11-05 00:00:00.000,348,30,11,CR,4.0,960000.0,
728,2010-11-10 00:00:00.000,271,27,8,CR,2.0,342000.0,
729,2010-11-12 00:00:00.000,257,42,5,CN,2.0,15960.0,
730,2010-11-21 00:00:00.000,287,25,9,CN,3.0,422700.0,
731,2010-12-01 00:00:00.000,333,20,5,CN,3.0,332700.0,
732,2010-12-10 00:00:00.000,304,4,4,CN,4.0,123600.0,
733,2010-12-16 00:00:00.000,334,27,12,CN,1.0,171000.0,
734,2010-12-16 00:00:00.000,466,15,5,CN,2.0,380000.0,
735,2010-12-20 00:00:00.000,345,3,5,CR,4.0,275600.0,
736,2010-12-20 00:00:00.000,333,36,6,CR,1.0,359000.0,
737,2010-12-26 00:00:00.000,445,15,9,CR,1.0,190000.0,
738,2010-12-30 00:00:00.000,294,35,8,CR,4.0,876000.0,
739,2011-01-08 00:00:00.000,388,27,4,CR,3.0,513000.0,
740,2011-01-10 00:00:00.000,423,39,9,CR,3.0,32970.0,
741,2011-01-14 00:00:00.000,287,23,12,CR,1.0,140900.0,
742,2011-01-25 00:00:00.000,443,13,3,CR,3.0,479700.0,
743,2011-01-28 00:00:00.000,423,28,9,CN,3.0,570000.0,
744,2011-02-01 00:00:00.000,275,4,7,CN,2.0,61800.0,
745,2011-02-06 00:00:00.000,431,17,8,CN,4.0,916000.0,
746,2011-02-09 00:00:00.000,240,19,1,CN,3.0,900000.0,
747,2011-02-19 00:00:00.000,253,14,6,CN,1.0,200000.0,
748,2011-02-19 00:00:00.000,240,39,12,CN,4.0,43960.0,
749,2011-02-22 00:00:00.000,408,12,11,CR,4.0,679600.0,
750,2011-02-25 00:00:00.000,459,22,10,CR,4.0,400000.0,
751,2011-02-25 00:00:00.000,298,4,7,CR,4.0,123600.0,
752,2011-02-28 00:00:00.000,208,35,1,CR,3.0,657000.0,
753,2011-03-01 00:00:00.000,423,31,7,CR,3.0,843000.0,
754,2011-03-01 00:00:00.000,383,5,4,CR,3.0,135000.0,
755,2011-03-10 00:00:00.000,208,38,1,CR,4.0,19960.0,
756,2011-03-12 00:00:00.000,327,38,12,CR,3.0,14970.0,
757,2011-03-18 00:00:00.000,206,20,8,CN,2.0,221800.0,
758,2011-03-24 00:00:00.000,367,37,2,CN,4.0,1276000.0,
759,2011-03-30 00:00:00.000,253,27,11,CN,3.0,513000.0,
760,2011-04-01 00:00:00.000,319,23,1,CN,4.0,563600.0,
761,2011-04-08 00:00:00.000,292,44,6,CN,2.0,47960.0,
762,2011-04-13 00:00:00.000,276,13,5,CN,2.0,319800.0,
763,2011-04-19 00:00:00.000,268,38,10,CR,1.0,4990.0,
764,2011-04-28 00:00:00.000,372,3,3,CR,4.0,275600.0,
765,2011-05-02 00:00:00.000,398,16,4,CR,2.0,418000.0,
766,2011-05-13 00:00:00.000,431,27,6,CR,2.0,342000.0,
767,2011-05-18 00:00:00.000,382,8,2,CR,2.0,259800.0,
768,2011-05-21 00:00:00.000,322,10,1,CR,4.0,476000.0,
769,2011-05-22 00:00:00.000,267,43,5,CR,3.0,41940.0,
770,2011-05-24 00:00:00.000,208,24,9,CR,1.0,150900.0,
771,2011-06-01 00:00:00.000,4,32,7,CN,4.0,1036000.0,
772,2011-06-08 00:00:00.000,218,31,10,CN,1.0,281000.0,
773,2011-06-13 00:00:00.000,386,31,5,CN,1.0,281000.0,
774,2011-06-14 00:00:00.000,222,21,2,CN,4.0,483600.0,
775,2011-06-17 00:00:00.000,462,29,2,CN,3.0,630000.0,
776,2011-06-22 00:00:00.000,423,33,12,CN,4.0,756000.0,
777,2011-06-28 00:00:00.000,240,13,6,CR,1.0,159900.0,
778,2011-07-08 00:00:00.000,239,2,11,CR,3.0,164700.0,
779,2011-07-09 00:00:00.000,275,26,3,CR,3.0,543000.0,
780,2011-07-09 00:00:00.000,345,25,7,CR,1.0,140900.0,
781,2011-07-11 00:00:00.000,383,33,4,CR,2.0,378000.0,
782,2011-07-21 00:00:00.000,372,26,2,CR,1.0,181000.0,
783,2011-07-23 00:00:00.000,345,23,12,CR,1.0,140900.0,
784,2011-08-02 00:00:00.000,208,25,5,CR,3.0,422700.0,
785,2011-08-06 00:00:00.000,353,17,3,CN,3.0,687000.0,
786,2011-08-09 00:00:00.000,249,10,1,CN,4.0,476000.0,
787,2011-08-14 00:00:00.000,353,10,1,CN,2.0,238000.0,
788,2011-08-23 00:00:00.000,439,9,7,CN,3.0,419700.0,
789,2011-08-28 00:00:00.000,453,44,3,CN,2.0,47960.0,
790,2011-09-07 00:00:00.000,353,45,11,CN,4.0,131960.0,
791,2011-09-12 00:00:00.000,450,8,5,CR,4.0,519600.0,
792,2011-09-15 00:00:00.000,205,5,7,CR,2.0,90000.0,
793,2011-09-21 00:00:00.000,423,6,12,CR,3.0,165000.0,
794,2011-09-29 00:00:00.000,374,30,3,CR,2.0,480000.0,
795,2011-10-03 00:00:00.000,218,9,2,CR,2.0,279800.0,
796,2011-10-09 00:00:00.000,287,24,8,CR,4.0,603600.0,
797,2011-10-20 00:00:00.000,422,4,11,CR,3.0,92700.0,
798,2011-10-28 00:00:00.000,459,38,9,CR,2.0,9980.0,
799,2011-10-28 00:00:00.000,372,40,5,CN,2.0,41980.0,
800,2011-11-07 00:00:00.000,224,10,12,CN,3.0,357000.0,
801,2011-11-16 00:00:00.000,292,5,6,CN,3.0,135000.0,
802,2011-11-22 00:00:00.000,353,2,10,CN,4.0,219600.0,
803,2011-11-23 00:00:00.000,333,8,8,CN,1.0,129900.0,
804,2011-12-03 00:00:00.000,217,33,2,CN,1.0,189000.0,
805,2011-12-05 00:00:00.000,450,45,12,CR,2.0,65980.0,
806,2011-12-09 00:00:00.000,442,24,3,CR,4.0,603600.0,
807,2011-12-17 00:00:00.000,350,32,8,CR,4.0,1036000.0,
808,2011-12-21 00:00:00.000,272,44,11,CR,3.0,71940.0,
809,2011-12-25 00:00:00.000,257,17,7,CR,4.0,916000.0,
810,2012-01-02 00:00:00.000,208,26,4,CR,2.0,362000.0,
811,2012-01-12 00:00:00.000,353,16,7,CR,3.0,627000.0,
812,2012-01-15 00:00:00.000,421,7,8,CR,2.0,140000.0,
813,2012-01-26 00:00:00.000,402,41,2,CN,1.0,30000.0,
814,2012-02-01 00:00:00.000,367,17,10,CN,1.0,229000.0,
815,2012-02-04 00:00:00.000,319,3,2,CN,4.0,275600.0,
816,2012-02-12 00:00:00.000,292,8,7,CN,4.0,519600.0,
817,2012-02-23 00:00:00.000,342,43,9,CN,3.0,41940.0,
818,2012-02-25 00:00:00.000,275,10,9,CN,2.0,238000.0,
819,2012-03-05 00:00:00.000,232,43,4,CR,2.0,27960.0,
820,2012-03-10 00:00:00.000,288,8,10,CR,3.0,389700.0,
821,2012-03-17 00:00:00.000,372,45,1,CR,4.0,131960.0,
822,2012-03-18 00:00:00.000,308,44,12,CR,4.0,95920.0,
823,2012-03-28 00:00:00.000,211,32,6,CR,1.0,259000.0,
824,2012-04-03 00:00:00.000,257,42,7,CR,2.0,15960.0,
825,2012-04-09 00:00:00.000,409,5,11,CR,2.0,90000.0,
826,2012-04-20 00:00:00.000,423,37,12,CR,4.0,1276000.0,
827,2012-04-22 00:00:00.000,287,11,2,CN,1.0,159900.0,
828,2012-05-01 00:00:00.000,275,23,6,CN,2.0,281800.0,
829,2012-05-12 00:00:00.000,287,44,9,CN,4.0,95920.0,
830,2012-05-14 00:00:00.000,329,39,6,CN,2.0,21980.0,
831,2012-05-23 00:00:00.000,218,28,5,CN,1.0,190000.0,
832,2012-05-31 00:00:00.000,287,26,12,CN,2.0,362000.0,
833,2012-06-05 00:00:00.000,452,39,7,CR,4.0,43960.0,
834,2012-06-09 00:00:00.000,391,4,6,CR,1.0,30900.0,
835,2012-06-16 00:00:00.000,383,14,12,CR,2.0,400000.0,
836,2012-06-16 00:00:00.000,281,36,6,CR,2.0,718000.0,
837,2012-06-20 00:00:00.000,348,31,8,CR,2.0,562000.0,
838,2012-06-25 00:00:00.000,292,34,7,CR,2.0,398000.0,
839,2012-07-06 00:00:00.000,275,40,5,CR,1.0,20990.0,
840,2012-07-14 00:00:00.000,345,32,1,CR,1.0,259000.0,
841,2012-07-22 00:00:00.000,275,41,4,CN,4.0,120000.0,
842,2012-07-31 00:00:00.000,232,20,7,CN,4.0,443600.0,
843,2012-08-01 00:00:00.000,372,40,10,CN,4.0,83960.0,
844,2012-08-03 00:00:00.000,271,45,2,CN,1.0,32990.0,
845,2012-08-09 00:00:00.000,271,5,7,CN,4.0,180000.0,
846,2012-08-13 00:00:00.000,394,9,1,CN,1.0,139900.0,
847,2012-08-22 00:00:00.000,294,23,8,CR,3.0,422700.0,
848,2012-08-30 00:00:00.000,384,3,4,CR,4.0,275600.0,
849,2012-09-09 00:00:00.000,392,12,9,CR,3.0,509700.0,
850,2012-09-19 00:00:00.000,298,23,5,CR,3.0,422700.0,
851,2012-09-25 00:00:00.000,287,15,6,CR,2.0,380000.0,
852,2012-10-02 00:00:00.000,287,4,7,CR,1.0,30900.0,
853,2012-10-09 00:00:00.000,222,20,6,CR,3.0,332700.0,
854,2012-10-13 00:00:00.000,266,22,6,CR,1.0,100000.0,
855,2012-10-14 00:00:00.000,208,6,11,CN,2.0,110000.0,
856,2012-10-24 00:00:00.000,372,42,9,CN,2.0,15960.0,
857,2012-10-31 00:00:00.000,281,14,9,CN,2.0,400000.0,
858,2012-11-06 00:00:00.000,394,17,12,CN,2.0,458000.0,
859,2012-11-17 00:00:00.000,445,34,10,CN,1.0,199000.0,
860,2012-11-20 00:00:00.000,292,20,1,CN,4.0,443600.0,
861,2012-11-28 00:00:00.000,226,22,11,CR,4.0,400000.0,
862,2012-12-01 00:00:00.000,249,26,2,CR,3.0,543000.0,
872,2000-05-09 00:00:00.000,260,40,10,CR,3.0,62970.0,
874,2000-05-16 00:00:00.000,257,4,10,CR,1.0,30900.0,
878,2000-06-05 00:00:00.000,423,22,8,CN,1.0,100000.0,
879,2000-06-09 00:00:00.000,386,40,10,CR,3.0,62970.0,
883,2000-06-27 00:00:00.000,232,29,8,CN,4.0,840000.0,
889,2000-08-13 00:00:00.000,232,4,10,CR,4.0,123600.0,
895,2000-09-20 00:00:00.000,423,21,10,CR,2.0,241800.0,
902,2000-11-08 00:00:00.000,459,17,8,CR,3.0,687000.0,
904,2000-11-13 00:00:00.000,366,24,1,CN,2.0,301800.0,
906,2000-11-24 00:00:00.000,224,28,8,CN,1.0,190000.0,
911,2000-12-27 00:00:00.000,208,25,1,CN,1.0,140900.0,
912,2000-12-31 00:00:00.000,409,38,8,CN,2.0,9980.0,
915,2001-01-09 00:00:00.000,342,12,10,CR,3.0,509700.0,
916,2001-01-09 00:00:00.000,306,31,10,CR,3.0,843000.0,
918,2001-01-15 00:00:00.000,217,44,8,CN,2.0,47960.0,
920,2001-01-26 00:00:00.000,288,24,1,CN,4.0,603600.0,
926,2001-02-23 00:00:00.000,281,30,1,CN,2.0,480000.0,
933,2001-03-26 00:00:00.000,365,13,8,CN,4.0,639600.0,
934,2001-04-01 00:00:00.000,401,29,8,CN,3.0,630000.0,
